time,I,pol,r,ar,cc,V_tot,kind,net_type
6,6.27,0.7,0.1,48,0.002,82.75263756181732,std,dynamic
7,9.94,0.7,0.1,67,0.057,688,mean,dynamic
7,7.85,0.7,0.1,48,0.002,82.75263756181732,std,dynamic
8,11.72,0.7,0.1,67,0.057,688,mean,dynamic
8,9.9,0.7,0.1,48,0.002,82.75263756181732,std,dynamic
0,5.0,0.8,0.1,66,0.039,866,mean,static
0,0.0,0.8,0.1,39,0.003,78.0073050966222,std,static
1,5.72,0.8,0.1,66,0.039,866,mean,static
1,1.04,0.8,0.1,39,0.003,78.0073050966222,std,static
2,6.75,0.8,0.1,66,0.039,866,mean,static
2,2.15,0.8,0.1,39,0.003,78.0073050966222,std,static
3,7.44,0.8,0.1,66,0.039,866,mean,static
3,2.74,0.8,0.1,39,0.003,78.0073050966222,std,static
4,9.34,0.8,0.1,66,0.039,866,mean,static
4,3.93,0.8,0.1,39,0.003,78.0073050966222,std,static
5,10.56,0.8,0.1,66,0.039,866,mean,static
5,5.22,0.8,0.1,39,0.003,78.0073050966222,std,static
6,12.91,0.8,0.1,66,0.039,866,mean,static
6,7.91,0.8,0.1,39,0.003,78.0073050966222,std,static
7,15.22,0.8,0.1,66,0.039,866,mean,static
7,10.37,0.8,0.1,39,0.003,78.0073050966222,std,static
8,17.91,0.8,0.1,66,0.039,866,mean,static
8,12.76,0.8,0.1,39,0.003,78.0073050966222,std,static
9,19.38,0.8,0.1,66,0.039,866,mean,static
9,13.19,0.8,0.1,39,0.003,78.0073050966222,std,static
0,5.0,0.8,0.1,85,0.056,715,mean,dynamic
0,0.0,0.8,0.1,50,0.002,33.42850346261406,std,dynamic
1,5.12,0.8,0.1,85,0.056,715,mean,dynamic
1,1.22,0.8,0.1,50,0.002,33.42850346261406,std,dynamic
2,5.88,0.8,0.1,85,0.056,715,mean,dynamic
2,1.54,0.8,0.1,50,0.002,33.42850346261406,std,dynamic
3,6.88,0.8,0.1,85,0.056,715,mean,dynamic
3,2.74,0.8,0.1,50,0.002,33.42850346261406,std,dynamic
4,8.03,0.8,0.1,85,0.056,715,mean,dynamic
4,4.12,0.8,0.1,50,0.002,33.42850346261406,std,dynamic
5,9.53,0.8,0.1,85,0.056,715,mean,dynamic
5,5.61,0.8,0.1,50,0.002,33.42850346261406,std,dynamic
6,10.88,0.8,0.1,85,0.056,715,mean,dynamic
6,6.57,0.8,0.1,50,0.002,33.42850346261406,std,dynamic
7,13.12,0.8,0.1,85,0.056,715,mean,dynamic
7,8.07,0.8,0.1,50,0.002,33.42850346261406,std,dynamic
8,16.16,0.8,0.1,85,0.056,715,mean,dynamic
8,10.49,0.8,0.1,50,0.002,33.42850346261406,std,dynamic
9,18.38,0.8,0.1,85,0.056,715,mean,dynamic
9,12.41,0.8,0.1,50,0.002,33.42850346261406,std,dynamic
10,20.34,0.8,0.1,85,0.056,715,mean,dynamic
10,13.68,0.8,0.1,50,0.002,33.42850346261406,std,dynamic
11,23.5,0.8,0.1,85,0.056,715,mean,dynamic
11,16.86,0.8,0.1,50,0.002,33.42850346261406,std,dynamic
12,24.88,0.8,0.1,85,0.056,715,mean,dynamic
12,17.87,0.8,0.1,50,0.002,33.42850346261406,std,dynamic
13,25.03,0.8,0.1,85,0.056,715,mean,dynamic
13,18.34,0.8,0.1,50,0.002,33.42850346261406,std,dynamic
0,5.0,0.9,0.1,59,0.041,848,mean,static
0,0.0,0.9,0.1,42,0.003,121.95324011045176,std,static
1,5.75,0.9,0.1,59,0.041,848,mean,static
1,1.3,0.9,0.1,42,0.003,121.95324011045176,std,static
2,6.12,0.9,0.1,59,0.041,848,mean,static
2,2.53,0.9,0.1,42,0.003,121.95324011045176,std,static
3,6.81,0.9,0.1,59,0.041,848,mean,static
3,3.65,0.9,0.1,42,0.003,121.95324011045176,std,static
4,8.62,0.9,0.1,59,0.041,848,mean,static
4,6.97,0.9,0.1,42,0.003,121.95324011045176,std,static
5,10.91,0.9,0.1,59,0.041,848,mean,static
5,8.96,0.9,0.1,42,0.003,121.95324011045176,std,static
6,12.69,0.9,0.1,59,0.041,848,mean,static
6,11.1,0.9,0.1,42,0.003,121.95324011045176,std,static
7,15.06,0.9,0.1,59,0.041,848,mean,static
7,13.12,0.9,0.1,42,0.003,121.95324011045176,std,static
8,16.75,0.9,0.1,59,0.041,848,mean,static
8,14.62,0.9,0.1,42,0.003,121.95324011045176,std,static
0,5.0,0.9,0.1,93,0.057,714,mean,dynamic
0,0.0,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
1,5.41,0.9,0.1,93,0.057,714,mean,dynamic
1,1.03,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
2,6.94,0.9,0.1,93,0.057,714,mean,dynamic
2,3.08,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
3,8.53,0.9,0.1,93,0.057,714,mean,dynamic
3,4.72,0.9,0.1,57,0.002,25.45766629990856,std,dynamic
4,11.34,0.9,0.1,93,0.057,714,mean,dynamic
