time,I,pol,r,ar,cc,kind,net_type
0,5.0,0.2,0.1,728,0.049,mean,static
0,0.0,0.2,0.1,27,0.002,std,static
1,11.78,0.2,0.1,728,0.049,mean,static
1,2.78,0.2,0.1,27,0.002,std,static
2,47.19,0.2,0.1,728,0.049,mean,static
2,15.07,0.2,0.1,27,0.002,std,static
3,150.16,0.2,0.1,728,0.049,mean,static
3,45.61,0.2,0.1,27,0.002,std,static
4,313.94,0.2,0.1,728,0.049,mean,static
4,73.56,0.2,0.1,27,0.002,std,static
5,473.44,0.2,0.1,728,0.049,mean,static
5,66.59,0.2,0.1,27,0.002,std,static
6,544.28,0.2,0.1,728,0.049,mean,static
6,42.95,0.2,0.1,27,0.002,std,static
7,537.59,0.2,0.1,728,0.049,mean,static
7,23.6,0.2,0.1,27,0.002,std,static
8,493.0,0.2,0.1,728,0.049,mean,static
8,17.37,0.2,0.1,27,0.002,std,static
9,445.16,0.2,0.1,728,0.049,mean,static
9,16.64,0.2,0.1,27,0.002,std,static
10,400.5,0.2,0.1,728,0.049,mean,static
10,16.33,0.2,0.1,27,0.002,std,static
11,359.25,0.2,0.1,728,0.049,mean,static
11,14.93,0.2,0.1,27,0.002,std,static
12,321.09,0.2,0.1,728,0.049,mean,static
12,13.77,0.2,0.1,27,0.002,std,static
13,285.78,0.2,0.1,728,0.049,mean,static
13,11.92,0.2,0.1,27,0.002,std,static
14,254.19,0.2,0.1,728,0.049,mean,static
14,12.06,0.2,0.1,27,0.002,std,static
15,228.41,0.2,0.1,728,0.049,mean,static
15,11.22,0.2,0.1,27,0.002,std,static
16,205.19,0.2,0.1,728,0.049,mean,static
16,12.34,0.2,0.1,27,0.002,std,static
17,185.91,0.2,0.1,728,0.049,mean,static
17,11.68,0.2,0.1,27,0.002,std,static
18,167.0,0.2,0.1,728,0.049,mean,static
18,10.84,0.2,0.1,27,0.002,std,static
19,151.16,0.2,0.1,728,0.049,mean,static
19,10.6,0.2,0.1,27,0.002,std,static
20,135.81,0.2,0.1,728,0.049,mean,static
20,9.28,0.2,0.1,27,0.002,std,static
21,121.25,0.2,0.1,728,0.049,mean,static
21,8.94,0.2,0.1,27,0.002,std,static
22,109.06,0.2,0.1,728,0.049,mean,static
22,8.84,0.2,0.1,27,0.002,std,static
23,97.5,0.2,0.1,728,0.049,mean,static
23,8.7,0.2,0.1,27,0.002,std,static
24,87.91,0.2,0.1,728,0.049,mean,static
24,8.29,0.2,0.1,27,0.002,std,static
25,79.53,0.2,0.1,728,0.049,mean,static
25,7.96,0.2,0.1,27,0.002,std,static
26,71.72,0.2,0.1,728,0.049,mean,static
26,7.19,0.2,0.1,27,0.002,std,static
27,64.34,0.2,0.1,728,0.049,mean,static
27,6.93,0.2,0.1,27,0.002,std,static
28,57.31,0.2,0.1,728,0.049,mean,static
28,6.26,0.2,0.1,27,0.002,std,static
29,50.66,0.2,0.1,728,0.049,mean,static
29,6.45,0.2,0.1,27,0.002,std,static
30,46.22,0.2,0.1,728,0.049,mean,static
30,6.24,0.2,0.1,27,0.002,std,static
31,41.75,0.2,0.1,728,0.049,mean,static
31,5.68,0.2,0.1,27,0.002,std,static
32,38.0,0.2,0.1,728,0.049,mean,static
32,6.17,0.2,0.1,27,0.002,std,static
33,34.47,0.2,0.1,728,0.049,mean,static
33,5.7,0.2,0.1,27,0.002,std,static
34,31.75,0.2,0.1,728,0.049,mean,static
34,5.56,0.2,0.1,27,0.002,std,static
35,28.72,0.2,0.1,728,0.049,mean,static
35,5.65,0.2,0.1,27,0.002,std,static
36,25.81,0.2,0.1,728,0.049,mean,static
36,4.93,0.2,0.1,27,0.002,std,static
37,23.19,0.2,0.1,728,0.049,mean,static
37,5.1,0.2,0.1,27,0.002,std,static
38,20.59,0.2,0.1,728,0.049,mean,static
38,4.83,0.2,0.1,27,0.002,std,static
39,18.5,0.2,0.1,728,0.049,mean,static
